protocolType,SETS_setName,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,Analysis_Status
FTN,FTNURY,South,2023.0,2023-09-27 00:00:00.000000 UTC,ORODR3_SANJORGE_PUPPO_EARLY_2324,-32.9737664,-55.8775694,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-12-27 00:00:00.000000 UTC,ORODR3_BLANQUILLO_GONZALOCARLE_LATE_2324,-32.8636524,-55.6437274,DK7272TRE,PDIP,,4.0,,H2H_STABILITY_SURVIVAL
FTN,FTNURY,South,2023.0,2023-12-27 00:00:00.000000 UTC,ORODR3_BLANQUILLO_GONZALOCARLE_LATE_2324,-32.8636524,-55.6437274,DK7210RR2,PDIP,,95.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272VT3P,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,DK7210PRO4,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,DK7272VT3P,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,DK7272TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,NEXT226PWUE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-31 00:00:00.000000 UTC,DBORE_JUSTINIANOPOSSE_JUAREZ_EARLY_EVE23,-32.95082802,-62.69816505,DK7210RR2,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNTEMP,South,2023.0,2023-10-05 00:00:00.000000 UTC,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NK842VIPTERA3,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-04 00:00:00.000000 UTC,SRUIZ_TACANA_GALLARDO_F23,-27.11992201,-64.79864602,DK7270TRE,PDIP,,0.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-04 00:00:00.000000 UTC,SRUIZ_TACANA_GALLARDO_F23,-27.11992201,-64.79864602,DK7210RR2,PDIP,,95.0,,H2H_STABILITY_SURVIVAL
FTN,FTNNORTE,North,2023.0,2024-01-04 00:00:00.000000 UTC,SRUIZ_TACANA_GALLARDO_F23,-27.11992201,-64.79864602,DK7210PRO4,PDIP,,1.0,,H2H_STABILITY_SURVIVAL
