FIELD_Country,lat,lon,FIELD_name,FIELD_County,FIELD_plantingSeason,FIELD_pipeline,FIELD_year,commercialName,createdBrand,OBS_code,OBS_numValue,REP_repetitionNumber,QC_Flag,OBS_growthStage,protocolType,protocolTitle,createdTechnology,trait
Argentina,-32.9631504,-63.95945837,GGBLAN_CARNERILLO_MANI_EARLY_F23,Rio Cuarto,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V8,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Uruguay,-34.4486849,-56.9574512,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,San Jose,2023,South,2023,DK7210RR2,DEKALB,DSSFP,4,1,NA,V4,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Uruguay,-34.4486849,-56.9574512,ORODR3_LABOYADA_DIEGOBOTTA_EARLY_2324,San Jose,2023,South,2023,DK7272TRE,NA,DSSFP,0,1,NA,V4,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),TRE,spod_veg
Argentina,-34.1961062,-64.2504634,GGBLAN_VICUNA_HARAS_EARLY_F23,Rio Cuarto,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V7,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-32.85611936,-61.55661772,EEBONA_ARMSTRONG_DELVECHIO_EARLY_F23,Belgrano,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-31.3293072,-60.8926082,VVSENK_CULULU_AGROMAT_EARLY_F23,Las Colonias,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V5,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-36.6616623,-62.180149,GLNQJ_DAIREAUX_ALGARRAHNOS_EARLY_EVE23,Daireaux,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V7,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-33.4839294,-61.2610336,EEBONA_BOMBAL_GIROTTI_EARLY_F23,Constitucion,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-31.3229275,-61.5223214,VVSENK_RAFAELA_ALLEGRO_EARLY_F23,Castellanos,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V6,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
Argentina,-36.0411244,-63.0751358,GLNQJ_MARILAUQUEN_PEREDAHNOS_EARLY_F23,Trenque Lauquen,2023,South,2023,DK7210RR2,DEKALB,DSSFP,0,1,NA,V8,NA,ARG 23 SM COM CORN GERM FTN (ARG/URY),RR,spod_veg
