protocolType,FIELD_pipeline,FIELD_plantingDate,FIELD_locationName,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023-09-19 00:00:00.000000 UTC,Capitan Sarmiento Buenos Aires Argentina,GFKVN_CAPSARMIENTO_CERVIGNI_EARLY_F23,-34.188117,-59.69059,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-09-19 00:00:00.000000 UTC,Capitan Sarmiento Buenos Aires Argentina,GFKVN_CAPSARMIENTO_CERVIGNI_EARLY_F23,-34.188117,-59.69059,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-09-19 00:00:00.000000 UTC,Capitan Sarmiento Buenos Aires Argentina,GFKVN_CAPSARMIENTO_CERVIGNI_EARLY_F23,-34.188117,-59.69059,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-09-19 00:00:00.000000 UTC,Capitan Sarmiento Buenos Aires Argentina,GFKVN_CAPSARMIENTO_CERVIGNI_EARLY_F23,-34.188117,-59.69059,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-11-28 00:00:00.000000 UTC,Pergamino Buenos Aires Argentina,GFKVN_PERGAMINO_MDF_LATE_F23,-33.868104,-60.677044,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMPUNT
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210PRO4,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210RR2,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7210RR2,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272VT3P,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272VT3P,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272TRE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,DK7272TRE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NEXT226PWUE,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-10-05 00:00:00.000000 UTC,Union Cordoba Argentina,DBORE_PASCANAS_BERTODO_EARLY_F23,-33.123094,-63.0772954,NK842VIPTERA3,SF9_SUB,N/A,0.0,,FTNTEMP
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,NEXT226PWUE,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,NK842VIPTERA3,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,DK7210PRO4,DSSFP,N/A,0.0,,FTNTEMP
FTN,South,2023-12-21 00:00:00.000000 UTC,Rio Segundo Cordoba Argentina,DBORE_IMPIRA_AIMAR_LATE_EVE23,-31.824383,-63.625942,DK7210RR2,DSSFP,N/A,28.0,,FTNTEMP
