protocolType,FIELD_pipeline,FIELD_plantingSeason,FIELD_plantingDate,FIELD_name,FIELD_field_latitude,FIELD_field_longitude,createdTechnology,commercialName,OBS_observationRefCd,OBS_descriptorAbbreviation,OBS_observationRepetition,OBS_numValue,QC_Flag,SETS_setName
FTN,South,2023.0,2023-11-24 00:00:00.000000 UTC,GFKVN_GAHAN_LOVICH_LATE_F23,-34.3775991,-60.1232286,,AX7370MQK1,YLD,N/A,1.0,128.46,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7272TRE,YLD,N/A,1.0,76.05,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,AX7370MQK1,YLD,N/A,1.0,82.76,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7210RR2,YLD,N/A,1.0,80.24,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,LT721TRE,YLD,N/A,1.0,83.47,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7210PRO4,YLD,N/A,1.0,76.93,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7208TRE,YLD,N/A,1.0,80.84,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK6962VT3P,YLD,N/A,1.0,76.67,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,LT344TRE,YLD,N/A,1.0,80.4,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,AY6923MQK1,YLD,N/A,1.0,69.9,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,AX7369MQK1,YLD,N/A,1.0,83.74,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,LT725TRE,YLD,N/A,1.0,80.05,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7303TRE,YLD,N/A,1.0,74.72,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7272VT3P,YLD,N/A,1.0,77.39,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7447TRE,YLD,N/A,1.0,71.94,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,AY7291FHJ2,YLD,N/A,1.0,80.9,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,LT723TRE,YLD,N/A,1.0,79.04,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,LT720VT3P,YLD,N/A,1.0,78.91,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,NK842VIPTERA3,YLD,N/A,1.0,79.79,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,VT3P,LT302VT3P,YLD,N/A,1.0,79.78,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,PRO4,DK7220VTPRO4,YLD,N/A,1.0,78.61,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,DK7270TRE,YLD,N/A,1.0,74.87,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,AY6924MQK1,YLD,N/A,1.0,69.55,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,BRV8380PWUE,YLD,N/A,1.0,79.76,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,VT3P,AX7761VT3P,YLD,N/A,1.0,74.95,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,NS7921VIP3CL,YLD,N/A,1.0,73.1,,FTNTEMP
FTN,South,2023.0,2023-12-07 00:00:00.000000 UTC,GGBLAN_LIAG_VICUNA_LATE_F23,-34.180948721648,-64.357744140076,,NEXT226PWUE,YLD,N/A,1.0,76.22,,FTNTEMP
FTN,South,2023.0,2023-09-21 00:00:00.000000 UTC,EEBONA_VENADO_YOUG_EARLY_F23,-33.8133243,-61.9347758,VT3P,AX7761VT3P,YLD,N/A,1.0,161.87,,FTNTEMP
